OTTERNO,Date,Ottername,Blood Kit#,Region,PermitType,CaptureTime,General Location,Area,Captur_Loc-N/S,Capture_Loc-E/W,Previously Captured?,Capture Team,Capture Method,Caught with pup?,Caught with others?,Palpably Pregnant?,Right Tags,R-New?,Left Tags,L- New?,R Pit Tag #,R-working?,L Pit Tag #,L-working?,Radio Tag Freq,VHF type,TDR #,Capture Comments,Sex,AgeClass,Grizzle,Nose Wound,Weight (lbs),Weight (kg),Length (cm),Girth (cm),Tail Length (cm),Right paw width (mm),Baculum length (cm),General Tooth Wear,Incisor Comments,Canine Comments,Molar Comments,Canine width (mm),Oral lesions,Age Estimate,Age Estimator,Digital Photo of Mouth,Digital Photo of Nose,Tooth Age Est,Tooth Age Est Quality,Appearance Comments,Pup UON,Pup sex,Pup Weight (kg),Pup Length (cm),Release Type,Release Loc-N/S,Release Loc-E/W
N-1378-08-S,3-Nov-08,6.467,426,BSR,TINKER/ESTES,15:35,DLCY,DLCY,36.101517,-121.628083,NO,ESSLINGER/BODKIN,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-43,NO,GO-4/5-7138,NO,,NO,4877302B50,NO,166.467,,890359,,m,a,2,1,60,27.2,127.5,79,30,45,,Light,BROKEN FRONT INCISOR,,,8.2,,6,STAEDLER,NO,NO,,,BIT THRU LIP W/ CANINE,,,,,Boat Release,N 36?06.091,W 121?37.685
N-1382-08-S,11-Nov-08,7.66,435,BSR,TINKER/ESTES,11:28,TORR,TORR,36.187883,-121.71335,NO,AMES/BODKIN,Wilson Traps/ Divers,YES,NO,NO,LB-1/2-6155,NO,CH-4/5-6683,NO,,NO,477B263D11,YES,167.66,,890365,CAPUTURED WITH PUP 1131-08.,f,a,3,3,41,18.6,111.5,76,28.6,42.2,,Light,WORN,MISSING TOP LEFT,,7,,9,,NO,NO,,,,N-1410-08-S,M,10,98.1,Boat Release,N 36?10.340,W 121?41.846
N-1382-08-S,9-Nov-11,7.66,22,BSR,TINKER/ESTES,15:08,Vicente Creek,GAMB,36.045733,-121.58855,YES,KENNER/HARRIS,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-322,YES,CH-4/5-109,YES,,NO,477B263011,YES,167.66,Thermister,EXPLANT,,f,a,4,5,30.2,13.7,113.5,75,28,43.3,,Heavy,,,,7,,10,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.975
N-1383-08-S,11-Nov-08,1104,437,BSR,TINKER/ESTES,11:19,DLCY,DLCY,36.100433,-121.626817,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-324,NO,TQ-4/5-100,NO,,NO,47777C0656,YES,,,,,f,a,2,3,52.9,24,120,75.5,29.7,42.9,,Moderate,,,,7.9,"BIT ON LIP, TARTER",6,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?05.390,W 121?37.832
N-1384-08-S,11-Nov-08,7.71,438,BSR,TINKER/ESTES,12:20,ANDR,ANDR,36.16715,-121.686883,NO,WEITZMAN/ESSLINGER,Wilson Traps/ Divers,YES,NO,NO,LB-1/2-326,NO,YE-1/2-6998,NO,,NO,4767774B52,YES,167.71,,890362,PUP IS FEMALE 1129-08.,f,a,2,1,41.9,19,114.3,74,28.3,45,,Very Light,,,,6.3,,4,STAEDLER,NO,NO,,,,N-1411-08-S,F,9.1,83.5,Boat Release,N 36?09.056,W 121?40.657
N-1385-08-S,11-Nov-08,6.043,440,BSR,TINKER/ESTES,12:25,ANDR,ANDR,36.16735,-121.687233,NO,ESSLINGER/ WEITZMAN,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-46,YES,WH-1/2-6473,YES,,NO,4774684B23,YES,166.043,Thermister,890346,TAGGED BY TOMMY,f,a,4,3,46.1,20.9,112,75,26,44.2,,Heavy,,,,6.9,,9,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36? 5.437,W 121?24.394
N-1409-08-S,6-Nov-08,1130,413,BSR,Tinker/Estes,12:40,BCRK,BCRK,36.076583,-121.611033,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,YES,BR-4/5-6522,NO,CH-4/5-151,NO,,NO,4A3C141600,YES,,,,FEMALE WITH MALE TAG COMBO,f,a,3,3,54,24.5,108.5,84,25,40.2,,Heavy,,WORN,,6.4,,9.5,STAEDLER,NO,NO,,,VERY PREGNANT,,,,,Boat Release,N 36?04.595,W 121?36.662
N-1410-08-S,11-Nov-08,1131,436,BSR,Tinker/Estes,11:28,TORR,TORR,36.187883,-121.711333,NO,AMES/BODKIN,Wilson Traps/ Divers,NO,NO,NO,BR-4/5-6516,NO,GO-1/2-3291,NO,,NO,4A415D150B,YES,,,,"Broken tooth, tagged by Justine Grajski.  Pup of 1103",m,p,1,1,22,10,98.1,59.2,24.3,38.8,,,pup teeth,,,3.2,,0.5,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?10.340,W 121?41.846
N-1411-08-S,11-Nov-08,1129,439,BSR,TINKER/ESTES,12:20,ANDR,ANDR,36.16715,-121.686883,NO,WEITZMAN/ESSLINGER,Wilson Traps/ Divers,NO,YES,NO,LB-1/2-77,NO,PU-1/2-20,NO,,NO,476D462148,YES,,,,PUP PF 1105-08.  TAGGED BY JUSTINE AND CHANCEY.,f,p,1,1,17,7.7,83.5,55,19.6,31.1,,,,,,4.2,,0.4,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?09.056,W 121?40.657
N-1412-09-S,2-Nov-09,6.067,463,BSR,TINKER/ESTES,15:45,Square Black Rock,BCRK,36.0736,-121.612533,NO,KENNER/ HATFIELD,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-68,YES,RE-4/5-199,YES,,NO,477A550309,YES,166.067,Thermister,890396,,f,a,3,1,37.7,17.1,112,66.5,27.4,42.5,,Light,,,,6.6,,4,TINKER,NO,NO,,,,,,,,Shore Release,N 36?04.196,W 121?35.952
